词	频次
anchor	402
layer	243
trigger	143
path	139
state	113
framing	106
reveal	93
push	89
stable	84
frame	79
sign	79
target	76
pattern	73
partition	71
manifest	68
actor	62
hijack	58
image	58
evidence	55
formulation	48
min	44
cool	38
phenomenal	37
framework	37
derivation	35
imposing	35
marker	35
shift	34
shame	33
non-imposition	32
design	31
capacity	30
substrate	30
drift	29
baseline	29
axis	28
pain	27
base	27
guilt	26
reframe	25
gap	24
transmission	23
monitor	22
domain	21
phenomenology	21
wolfram	20
verbal	20
faith	20
calibration	19
candidate	19
culture	19
canonical	18
rya	18
time	17
sam	17
dimension	16
derive	16
partial	16
signal	16
register	15
ceiling	15
root	15
actor-status	15
markers	15
stick	15
plan	14
lasting	14
retire	13
reactive	13
active	13
spontaneous	13
level	13
hot	13
transition	13
documented	13
context	13
brainport	13
in-session	12
status	12
backup	12
pana	12
bottleneck	11
insight	11
slot	11
sit	11
through	11
alignment	11
vector	11
actor-	11
directional	10
hold	10
lift	10
escape	10
risk	10
degree	10
reference	10
hana	10
self-correct	9
motion	9
hedge	9
catch	9
psych	9
dhy	9
praj	9
strict	8
effort	8
threshold	8
plausible	8
ontological	8
forcing	8
check	8
operate	8
disposition	8
unit	8
exposure	8
work	8
contrast	8
specificity	8
readme	8
proposition	8
manask	8
nti	8
patti	8
enforce	7
ground	7
challenge	7
healthy	7
internal	7
sink	7
stub	7
agency	7
label	7
erosion	7
dhi	7
svabh	7
sth	7
commit	6
grep	6
crystallize	6
outer	6
specific	6
ready	6
dispositional	6
affordance	6
khy	6
nirodha	6
cross-context	6
rom	6
lost	6
universal	6
self-worth	6
macro	6
effect	6
attribution	6
transfer	6
nested	6
cross-ref	6
vij	6
nyat	6
pra	6
fear	6
upek	6
dve	6
jargon	5
markdown	5
retroactive	5
amplitude	5
trivial	5
phenomenological	5
structurally	5
checklist	5
self-report	5
mechanism	5
mapping	5
functional	5
quality	5
standing	5
implicit	5
dynamic	5
asa	5
reading	5
strategic	5
milestone	5
cycle	5
case	5
meta-	5
temporal	5
brown	5
spiral	5
dashboard	5
memory	5
epistemic	5
d-emerging	5
engagement	5
trait	5
ruliad	5
vasubandhu	5
aka	5
exit	5
amana	5
